INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'OZAPRAL 30mg | 50mg', 'Ex quis do sint occaecat ut quis ut consequat tempor ad magna commodo deserunt sit.', 'Eu id incididunt sunt id cillum et reprehenderit minim ad voluptate excepteur. Esse consectetur laboris deserunt exercitation sint magna ut. Officia et non sint proident consectetur mollit amet anim proident laboris ullamco. Irure nostrud eu anim magna veniam qui voluptate anim. Ullamco ullamco magna commodo dolore laboris nisi quis enim aute. Quis adipisicing adipisicing nisi consectetur. Tempor et anim ipsum magna dolor eiusmod.','1 240 Fcfa', 'CP - Comprimé','assets/image/pro16.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'DOLIPRANE 1000mg', 'Consectetur nostrud laborum labore aliqua.', 'In ea id nulla eu elit. Labore aliquip cillum esse sunt exercitation Lorem pariatur culpa. Nostrud aliqua consequat deserunt incididunt minim dolore occaecat.','850 Fcfa', 'CP - Comprimé','assets/image/pro13.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'OTRIVIN Adult', 'Ad occaecat irure sit eiusmod officia excepteur voluptate consequat cillum sit ut sunt esse.', 'Quis nostrud laborum deserunt commodo duis ipsum quis commodo esse anim. Dolor ex Lorem sint pariatur adipisicing ex adipisicing voluptate esse tempor. Velit consequat id reprehenderit velit do nisi Lorem sit eu deserunt cillum. Consequat eiusmod est eu elit.','1 000 Fcfa', 'Naz - Azale 10mL','assets/image/pro14.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'OXAGRAM - 8mL', 'Ad tempor do aute eiusmod esse sit occaecat quis aliqua proident in esse amet.', 'Excepteur aliqua Lorem ullamco commodo amet elit magna irure sit dolor consequat minim nisi. Aliquip tempor minim esse magna sit veniam minim voluptate excepteur cupidatat ipsum. Eiusmod labore amet nostrud tempor tempor voluptate nostrud consectetur dolore sint amet dolore laborum. Do adipisicing aute sit fugiat est cupidatat id. Ad ad velit consectetur dolor fugiat laboris minim minim excepteur excepteur nostrud. Aliquip anim proident aliqua ipsum anim nisi ullamco amet sit esse consequat. Qui amet in culpa qui proident aute ex exercitation nisi ullamco quis.','6 242', 'CP - Comprimé','assets/image/pro15.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'OZAPRA 30 mg', 'Voluptate ad enim labore culpa velit sunt voluptate ullamco mollit eu.', 'Elit dolore ex in fugiat ex. Cupidatat magna eu et elit ut aliquip eu id consequat sunt voluptate magna dolore. Officia nisi consequat consequat id elit velit quis id aute tempor ex laboris minim.','2 827 Fcfa', 'CP - Comprimé','assets/image/pro16.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'PANADO EXTRA', 'Veniam quis do ea velit ea voluptate ex non.', 'Excepteur proident anim magna id ex proident id cupidatat sint sunt eu excepteur. Do in nulla proident elit commodo. Laborum sint est minim anim non ea ex nulla commodo eu dolor.','1 908 Fcfa', 'CP - Comprimé','assets/image/pro17.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'ENOXA 6000mg', 'Nostrud adipisicing incididunt laboris qui incididunt culpa ex.', 'Dolore consectetur exercitation et mollit duis do nulla. Irure irure consequat do nulla consectetur irure nisi proident sit aute cillum velit est non. Velit culpa proident mollit pariatur est aliqua qui do non nisi eu. Do adipisicing aliqua nostrud quis aute nostrud quis pariatur dolor cupidatat cupidatat pariatur. Exercitation nisi ut consequat laborum irure amet laborum ad dolor anim proident.','12 991', 'IN - Injectable','assets/image/pro18.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'GILBERT EOSINE', 'Elit deserunt cillum ipsum nostrud eu magna velit nulla voluptate proident et cupidatat.', 'Consectetur excepteur amet aliquip mollit. Aliquip cupidatat elit voluptate exercitation veniam ut eu occaecat elit. Ullamco adipisicing nisi est amet voluptate laborum aute et. Nulla elit consectetur proident ullamco tempor elit consectetur. Voluptate fugiat nulla proident cillum anim.','9 374 Fcfa', 'BUV - Buvable','assets/image/pro19.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'ERYTHROMYCIN 500mg', 'Laboris pariatur velit proident eiusmod nostrud.', 'Nulla deserunt veniam magna voluptate anim dolore nulla deserunt ut quis nulla. Nulla amet nostrud reprehenderit esse minim Lorem dolor. Occaecat cupidatat deserunt proident consequat.','2 658 Fcfa', 'CP - Comprimé','assets/image/pro20.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'ERLUS - 5mg', 'Proident in eu ipsum nostrud commodo.', 'Esse officia eu in culpa ea. Ad dolor elit minim velit minim eu minim qui pariatur ad mollit dolore. Labore commodo in et cupidatat ullamco dolor aute ea officia occaecat.','1 111 Fcfa', 'CP - Comprimé','assets/image/pro21.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'GILBERT - FLACON', 'Lorem dolor veniam incididunt nostrud sint ipsum ullamco excepteur.', 'Cillum fugiat proident velit ea veniam tempor quis id aliqua. Aute amet et enim duis occaecat ut veniam eiusmod consectetur pariatur. Enim officia quis in ullamco tempor consequat eu dolor officia consectetur. Nisi veniam sint proident culpa enim dolor cillum magna dolor sunt quis eiusmod qui. Elit cupidatat aliquip reprehenderit irure ullamco laboris voluptate ipsum. Aliquip anim ipsum voluptate elit magna anim sunt officia.','8 500 Fcfa', 'Buv - Buvable','assets/image/pro22.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'ESCODYNE', 'Id voluptate esse amet tempor est dolore nulla.', 'Proident elit dolor consequat labore laborum laborum enim reprehenderit aliqua pariatur. Culpa eiusmod magna deserunt occaecat magna. Sit irure culpa id ut adipisicing proident ad eiusmod in ea.','850 Fcfa', 'BUV - Buvable','assets/image/pro23.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'FERTILO FORTE', 'Voluptate adipisicing proident commodo laboris Lorem officia labore ipsum ex.', 'Ex do id adipisicing Lorem cillum nulla magna voluptate do magna aliquip non. Est sunt consequat eiusmod aute. Nulla ut occaecat proident nisi officia. Sunt culpa consequat incididunt ut enim proident excepteur incididunt adipisicing velit laborum. Incididunt minim eiusmod ipsum cillum.','NaN', 'NaN','assets/image/pro24.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'AKINETON 2mg', 'Commodo exercitation id ex culpa irure Lorem.', 'Enim laborum non ullamco do. Dolor tempor duis irure culpa pariatur. Sint voluptate ea ut occaecat proident eu Lorem consequat tempor fugiat cillum. Id dolore occaecat esse sit Lorem nostrud dolore ut commodo enim nulla Lorem mollit eiusmod. Irure commodo Lorem elit qui eu ipsum ad occaecat ex eiusmod tempor. Officia excepteur velit cupidatat proident enim laboris aliquip aute amet laboris reprehenderit velit sit esse. Nisi officia irure fugiat magna dolore qui eiusmod laboris officia sunt incididunt nulla cupidatat.','300 Fcfa', 'CP - Comprimé','assets/image/pro30.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'BEROCCA', 'Cillum mollit anim irure voluptate deserunt ex exercitation.', 'Magna commodo ut non consectetur. Non ullamco officia officia ut cupidatat anim sit enim consectetur. Aliquip irure magna commodo occaecat irure velit consectetur eu velit sunt in.','15 750 Fcfa', 'BUV- Buvable','assets/image/pro25.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'MULTI VITAMINES', 'Labore qui fugiat irure irure cupidatat est reprehenderit dolor ut tempor.', 'Magna qui enim pariatur exercitation consectetur esse in Lorem amet velit ullamco est Lorem. Anim dolor occaecat pariatur adipisicing exercitation excepteur aliqua incididunt id. Cillum ipsum labore sunt aliqua cupidatat tempor consequat cupidatat qui incididunt sint occaecat. Id sunt non in sit eiusmod. Minim qui labore minim aliqua ex aliqua non qui est officia ad nisi id ipsum.','800 Fcfa', 'CP - Comprimé','assets/image/pro26.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'MULTI VITAMINES 8 MINERAUX', 'Fugiat non mollit proident in excepteur est ex deserunt irure aute veniam magna aliquip.', 'Commodo id cillum aliqua enim nostrud ad duis sunt consectetur occaecat aliquip. Fugiat veniam laborum cillum enim excepteur ex. Laborum pariatur magna proident magna mollit quis aliqua adipisicing aliqua ad ut dolore. Id est commodo ex incididunt duis consequat nostrud amet aliquip fugiat exercitation esse dolor. Id pariatur cupidatat aliqua deserunt laboris veniam proident elit laboris. Eu commodo culpa esse aliqua nostrud aliquip non nulla consectetur eu cupidatat.','1 151 Fcfa', 'CP - Comprimé','assets/image/pro27.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, '12 VITAMINES 7 OLIGO', 'ACTION GLOBALE Voluptate cupidatat laborum eiusmod sunt dolor ipsum anim tempor reprehenderit officia aute in.', 'Id officia quis do laborum dolor adipisicing laboris anim ipsum. Id exercitation eu duis enim anim elit. Proident nostrud nulla ea ex. Officia excepteur ea amet velit consequat aliqua sunt veniam minim labore ex. Ea ex est commodo mollit.','8 055 Fcfa', 'BUV - Buvable','assets/image/pro28.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'CONA-ADIONE', 'Reprehenderit id ut mollit in cupidatat nisi culpa non elit.', 'Sit deserunt tempor laboris quis officia. Fugiat fugiat cupidatat incididunt duis et do irure ad qui tempor ea cupidatat Lorem amet. Veniam enim in ullamco officia et sit id nulla. Incididunt incididunt labore reprehenderit laborum aliqua minim officia. Eiusmod consequat ut anim qui magna pariatur.','12 350 Fcfa', 'COMP - Comprimé','assets/image/pro29.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'AKINETON 2mg', 'Culpa fugiat eu in ullamco irure sint est labore proident et ipsum adipisicing.', 'Elit eiusmod commodo quis nisi id et in duis deserunt commodo. Aliquip proident aute duis incididunt ut commodo occaecat est velit reprehenderit in adipisicing dolore fugiat. Ad nostrud culpa duis sunt. Amet mollit exercitation ipsum exercitation reprehenderit commodo. Proident ea id incididunt amet.','12 786 Fcfa', 'CP - Comprimé','assets/image/pro30.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'OZAPRAL 30mg | 50mg', 'Ex quis do sint occaecat ut quis ut consequat tempor ad magna commodo deserunt sit.', 'Eu id incididunt sunt id cillum et reprehenderit minim ad voluptate excepteur. Esse consectetur laboris deserunt exercitation sint magna ut. Officia et non sint proident consectetur mollit amet anim proident laboris ullamco. Irure nostrud eu anim magna veniam qui voluptate anim. Ullamco ullamco magna commodo dolore laboris nisi quis enim aute. Quis adipisicing adipisicing nisi consectetur. Tempor et anim ipsum magna dolor eiusmod.','1 240 Fcfa', 'CP - Comprimé','assets/image/pro16.PNG', '0', '0', '0');
INSERT INTO `produitpharmaceutique` (`idProduitPharmaceutique`, `nomProduit`, `desPetiteProduitPharmaceutique`, `desCompleteProduitPharceutique`, `prixProduitPharmaceutique`, `categorieProduitPharmaceutique`, `imageProduitPharmaceutique`, `disponibiliteProduitPhar1`, `disponibiliteProduitPhar2`, `disponibiliteProduitPhar3`) VALUES (NULL, 'PEDIAKID NEZ-GORGE ', 'Dégage les voies respiratoires - 125 ou 250ml', 'Laboris culpa dolore non aute aliqua exercitation amet officia laborum laborum sunt. Enim consectetur aliqua voluptate culpa do ipsum irure sint deserunt in non aliqua ad sit. Mollit ullamco amet do eiusmod sunt minim magna et. Do enim consectetur consectetur aute irure tempor eu minim ad sunt tempor irure. Minim voluptate commodo excepteur dolore sit.','1 950 Fcfa', 'BUV - Buvable','assets/image/pro3.PNG', '0', '0', '0');
